+00°   12ʰ00ᵐ  +66°34′ N  +90°00′ S  +66°34′ S
+05°   12ʰ17ᵐ  +71°34′ N  +85°00′ S  +61°34′ S
+10°   12ʰ35ᵐ  +76°34′ N  +80°00′ S  +56°34′ S
+15°   12ʰ53ᵐ  +81°34′ N  +75°00′ S  +51°34′ S
+20°   13ʰ13ᵐ  +86°34′ N  +70°00′ S  +46°34′ S
+25°   13ʰ33ᵐ  +88°26′ S  +70°00′ S  +41°34′ S
+30°   13ʰ56ᵐ  +83°26′ S  +70°00′ S  +36°34′ S
+35°   14ʰ21ᵐ  +78°26′ S  +70°00′ S  +31°34′ S
+40°   14ʰ51ᵐ  +73°26′ S  +70°00′ S  +26°34′ S
+45°   15ʰ25ᵐ  +68°26′ S  +70°00′ S  +21°34′ S
+50°   16ʰ09ᵐ  +63°26′ S  +70°00′ S  +16°34′ S
+55°   17ʰ06ᵐ  +58°26′ S  +70°00′ S  +11°34′ S
+60°   18ʰ29ᵐ  +53°26′ S  +70°00′ S  +06°34′ S
+65°   21ʰ07ᵐ  +48°26′ S  +70°00′ S  +01°34′ S
+70°   62ᵈ06ʰ  +43°26′ S  +20°00′ S  -03°26′ S
+75°  100ᵈ06ʰ  +38°26′ S  +15°00′ S  -08°26′ S
+80°  130ᵈ02ʰ  +33°26′ S  +10°00′ S  -13°26′ S
+85°  156ᵈ22ʰ  +28°26′ S  +05°00′ S  -18°26′ S
+90°  182ᵈ15ʰ  +23°26′ S  +00°00′ S  -23°26′ S
