01/01/1900 &  2415021.08 &  18/01/1950 &  2433299.83 & 06/01/2000 &  2451550.25 23/01/2050 & 2469829.71\\
20/01/1901 &  2415405.11 &  07/01/1951 &  2433654.34 & 24/01/2001 &  2451934.05 12/01/2051 & 2470184.29\\
09/01/1902 &  2415759.38 &  26/01/1952 &  2434038.43 & 13/01/2002 &  2452288.07 02/01/2052 & 2470538.62\\
28/01/1903 &  2416143.19 &  15/01/1953 &  2434393.09 & 02/01/2003 &  2452642.35 19/01/2053 & 2470922.46\\
17/01/1904 &  2416497.16 &  05/01/1954 &  2434747.60 & 21/01/2004 &  2453026.37 08/01/2054 & 2471276.44\\
05/01/1905 &  2416851.27 &  24/01/1955 &  2435131.54 & 10/01/2005 &  2453381.00 27/01/2055 & 2471660.24\\
24/01/1906 &  2417235.21 &  13/01/1956 &  2435485.62 & 29/01/2006 &  2453765.10 16/01/2056 & 2472014.43\\
14/01/1907 &  2417589.74 &  30/01/1957 &  2435869.40 & 19/01/2007 &  2454119.67 05/01/2057 & 2472368.91\\
03/01/1908 &  2417944.41 &  19/01/1958 &  2436223.43 & 08/01/2008 &  2454473.98 24/01/2058 & 2472753.00\\
22/01/1909 &  2418328.51 &  09/01/1959 &  2436577.73 & 26/01/2009 &  2454857.82 14/01/2059 & 2473107.67\\
11/01/1910 &  2418682.99 &  28/01/1960 &  2436961.76 & 15/01/2010 &  2455211.81 03/01/2060 & 2473462.20\\
30/01/1911 &  2419066.90 &  16/01/1961 &  2437316.40 & 04/01/2011 &  2455565.88 21/01/2061 & 2473846.13\\
19/01/1912 &  2419420.96 &  06/01/1962 &  2437671.03 & 23/01/2012 &  2455949.82 10/01/2062 & 2474200.24\\
07/01/1913 &  2419774.94 &  25/01/1963 &  2438055.07 & 11/01/2013 &  2456304.31 29/01/2063 & 2474584.02\\
26/01/1914 &  2420158.78 &  14/01/1964 &  2438409.36 & 30/01/2014 &  2456688.40 18/01/2064 & 2474938.03\\
15/01/1915 &  2420513.11 &  02/01/1965 &  2438763.38 & 20/01/2015 &  2457043.06 06/01/2065 & 2475292.30\\
05/01/1916 &  2420867.70 &  21/01/1966 &  2439147.16 & 10/01/2016 &  2457397.57 25/01/2066 & 2475676.34\\
23/01/1917 &  2421251.82 &  10/01/1967 &  2439501.26 & 28/01/2017 &  2457781.50 15/01/2067 & 2476030.97\\
12/01/1918 &  2421606.44 &  29/01/1968 &  2439885.19 & 17/01/2018 &  2458135.59 05/01/2068 & 2476385.61\\
02/01/1919 &  2421960.85 &  18/01/1969 &  2440239.70 & 06/01/2019 &  2458489.57 23/01/2069 & 2476769.65\\
21/01/1920 &  2422344.72 &  07/01/1970 &  2440594.36 & 24/01/2020 &  2458873.41 12/01/2070 & 2477123.97\\
09/01/1921 &  2422698.73 &  26/01/1971 &  2440978.46 & 13/01/2021 &  2459227.70 01/01/2071 & 2477478.01\\
27/01/1922 &  2423082.50 &  16/01/1972 &  2441332.95 & 02/01/2022 &  2459582.27 20/01/2072 & 2477861.78\\
17/01/1923 &  2423436.61 &  04/01/1973 &  2441687.15 & 21/01/2023 &  2459966.37 08/01/2073 & 2478215.85\\
06/01/1924 &  2423791.03 &  23/01/1974 &  2442070.96 & 11/01/2024 &  2460321.00 27/01/2074 & 2478599.78\\
24/01/1925 &  2424175.11 &  12/01/1975 &  2442424.94 & 29/01/2025 &  2460705.03 16/01/2075 & 2478954.27\\
14/01/1926 &  2424529.78 &  01/01/1976 &  2442779.11 & 18/01/2026 &  2461059.32 06/01/2076 & 2479308.93\\
03/01/1927 &  2424884.36 &  19/01/1977 &  2443163.09 & 07/01/2027 &  2461413.35 24/01/2077 & 2479693.03\\
22/01/1928 &  2425268.34 &  09/01/1978 &  2443517.66 & 26/01/2028 &  2461797.14 14/01/2078 & 2480047.55\\
11/01/1929 &  2425622.51 &  28/01/1979 &  2443901.77 & 14/01/2029 &  2462151.23 03/01/2079 & 2480401.78\\
29/01/1930 &  2426006.29 &  17/01/1980 &  2444256.40 & 04/01/2030 &  2462505.61 22/01/2080 & 2480785.58\\
18/01/1931 &  2426360.28 &  06/01/1981 &  2444610.81 & 23/01/2031 &  2462889.68 10/01/2081 & 2481139.55\\
07/01/1932 &  2426714.48 &  25/01/1982 &  2444994.70 & 12/01/2032 &  2463244.34 28/01/2082 & 2481523.37\\
25/01/1933 &  2427098.47 &  14/01/1983 &  2445348.72 & 30/01/2033 &  2463628.42 18/01/2083 & 2481877.66\\
15/01/1934 &  2427453.07 &  03/01/1984 &  2445702.73 & 20/01/2034 &  2463982.92 07/01/2084 & 2482232.22\\
05/01/1935 &  2427807.73 &  21/01/1985 &  2446086.61 & 09/01/2035 &  2464337.12 25/01/2085 & 2482616.34\\
24/01/1936 &  2428191.81 &  10/01/1986 &  2446441.01 & 28/01/2036 &  2464720.93 15/01/2086 & 2482970.98\\
